"191","25","LeSabre","1",NULL
"192","25","Lucerne","1",NULL
"193","25","Park Avenue","1",NULL
"194","25","Rainer","1",NULL
"195","25","Reatta","1",NULL
"196","25","Regal","1",NULL
"197","25","Rendezvous","1",NULL
"198","25","Riviera","1",NULL
"199","25","Roadmaster","1",NULL
"200","25","Skylark","1",NULL
"201","25","Terraza","1",NULL
"202","26","E6","1",NULL
"203","26","F0","1",NULL
"204","26","F3","1",NULL
"205","26","F6","1",NULL
"206","26","F8","1",NULL
"207","26","Flyer","1",NULL
"208","26","G3","1",NULL
"209","26","G6","1",NULL
"210","26","L3","1",NULL
"211","26","M6","1",NULL
"212","26","S6","1",NULL
"213","27","BD132J (CoCo)","1",NULL
"214","27","BD326J (Moca)","1",NULL
"215","28","Allante","1",NULL
"216","28","ATS","1",NULL
"217","28","BLS","1",NULL
"218","28","Brougham","1",NULL
"219","28","Catera","1",NULL
"220","28","CTS","1",NULL
"221","28","De Ville","1",NULL
"222","28","DTS","1",NULL
"223","28","Eldorado","1",NULL
"224","28","Escalade","1",NULL
"225","28","Fleetwood","1",NULL
"226","28","LSE","1",NULL
"227","28","Seville","1",NULL
"228","28","Sixty Special","1",NULL
"229","28","SRX","1",NULL
"230","28","STS","1",NULL
"231","28","XLR","1",NULL
"232","28","XTS","1",NULL
"233","29","C12","1",NULL
"234","30","FX4","1",NULL
"235","31","21","1",NULL
"236","31","CSR","1",NULL
"237","31","Seven","1",NULL
"238","32","Benni","1",NULL
"239","32","CS35","1",NULL
"240","32","Eado","1",NULL
"241","32","Raeton","1",NULL
"242","32","Z-Shine","1",NULL
"244","33","Flying","1",NULL
"245","33","SUV (CS6)","1",NULL
"247","34","Amulet (A15)","1",NULL
"248","34","Bonus (A13)","1",NULL
"249","34","CrossEastar (B14)","1",NULL
"250","34","Fora (A21)","1",NULL
"251","34","IndiS (S18D)","1",NULL
"252","34","Kimo (A1)","1",NULL
"253","34","Oriental Son (B11)","1",NULL
"254","34","QQ6 (S21)","1",NULL
"255","34","Sweet (QQ)","1",NULL
"256","34","Tiggo (T11)","1",NULL
"257","34","Very","1",NULL
"258","35","Alero","1",NULL
"259","35","Astra","1",NULL
"260","35","Astro","1",NULL
"261","35","Avalanche","1",NULL
"262","35","Aveo","1",NULL
"263","35","Beretta","1",NULL
"264","35","Blazer","1",NULL
"265","35","Blazer K5","1",NULL
"266","35","C-10","1",NULL
"267","35","Camaro","1",NULL
"268","35","Caprice","1",NULL
"269","35","Captiva","1",NULL
"270","35","Cavalier","1",NULL
"271","35","Celebrity","1",NULL
"272","35","Celta","1",NULL
"273","35","Chevette","1",NULL
"274","35","Citation","1",NULL
"275","35","Classic","1",NULL
"276","35","Cobalt","1",NULL
"277","35","Colorado","1",NULL
"278","35","Corsa","1",NULL
"279","35","Corsica","1",NULL
"280","35","Corvette","1",NULL
"281","35","Cruze (HR)","1",NULL
"282","35","Cruze","1",NULL
"283","35","Epica","1",NULL
"284","35","Equinox","1",NULL
"285","35","Evanda","1",NULL
"286","35","Express","1",NULL
"287","35","HHR","1",NULL
"288","35","Impala","1",NULL
"289","35","Kalos","1",NULL
"290","35","Lacetti","1",NULL
"291","35","Lanos","1",NULL
"292","35","Lumina","1",NULL
"293","35","Lumina APV","1",NULL
"294","35","LUV D-MAX","1",NULL
"295","35","Malibu","1",NULL
"296","35","Metro","1",NULL
"297","35","Monte Carlo","1",NULL
"298","35","Monza","1",NULL
"299","35","MW","1",NULL
"300","35","Niva","1",NULL
"301","35","Nubira","1",NULL
"302","35","Omega","1",NULL
"303","35","Orlando","1",NULL
"304","35","Prizm","1",NULL
"305","35","Rezzo","1",NULL
"306","35","S-10 Pickup","1",NULL
"307","35","Sail","1",NULL
"308","35","Sonic","1",NULL
"309","35","Spark","1",NULL
"310","35","SSR","1",NULL
"311","35","Starcraft","1",NULL
"312","35","Suburban","1",NULL
"313","35","Tahoe","1",NULL
"314","35","Tavera","1",NULL
"315","35","Tracker","1",NULL
"316","35","TrailBlazer","1",NULL
"317","35","Trans Sport","1",NULL
"318","36","200","1",NULL
"319","36","300C","1",NULL
"320","36","300M","1",NULL
"321","36","Aspen","1",NULL
"322","36","Cirrus","1",NULL
"323","36","Concorde","1",NULL
"324","36","Crossfire","1",NULL
"325","36","Dynasty","1",NULL
"326","36","Fifth Avenue","1",NULL
"327","36","Imperial","1",NULL
"328","36","Intrepid","1",NULL
"329","36","Le Baron","1",NULL
"330","36","LHS","1",NULL
"331","36","Nassau","1",NULL
"332","36","Neon","1",NULL
"333","36","NEW Yorker","1",NULL
"334","36","Pacifica","1",NULL
"335","36","Prowler","1",NULL
"336","36","PT Cruiser","1",NULL
"337","36","Saratoga","1",NULL
"338","36","Sebring","1",NULL
"339","36","Stratus","1",NULL
"340","36","TC by Maserati","1",NULL
"341","36","Town & Country","1",NULL
"342","36","Viper","1",NULL
"343","36","Vision","1",NULL
"344","36","Voyager","1",NULL
"345","37","2 CV","1",NULL
"346","37","AMI","1",NULL
"347","37","Ax","1",NULL
"348","37","Berlingo","1",NULL
"349","37","BX","1",NULL
"350","37","C-Crosser","1",NULL
"351","37","C-Elysee","1",NULL
"352","37","C1","1",NULL
"353","37","C2","1",NULL
"354","37","C3","1",NULL
"355","37","C3 Picasso","1",NULL
"356","37","C4 Aircross","1",NULL
"357","37","C4 Cactus","1",NULL
"358","37","C4","1",NULL
"359","37","C4 Picasso","1",NULL
"360","37","C5","1",NULL
"361","37","C6","1",NULL
"362","37","C8","1",NULL
"363","37","CX","1",NULL
"364","37","DS3","1",NULL
"365","37","DS4","1",NULL
"366","37","DS5","1",NULL
"367","37","Dyane","1",NULL
"368","37","Evasion","1",NULL
"369","37","GS","1",NULL
"371","37","Saxo","1",NULL
"372","37","Visa","1",NULL
"373","37","Xantia","1",NULL
"374","37","XM","1",NULL
"375","37","Xsara","1",NULL
"376","37","Xsara Picasso","1",NULL
"377","37","ZX","1",NULL
"378","38","V16t","1",NULL
"379","39","T Rex","1",NULL
"380","40","1300","1",NULL
"381","40","1310","1",NULL
"382","40","1410","1",NULL
"383","40","Dokker","1",NULL
"384","40","Duster","1",NULL
"385","40","Lodgy","1",NULL
"386","40","Logan","1",NULL
"387","40","Nova","1",NULL
"388","40","Sandero","1",NULL
"389","40","Solenza","1",NULL
"390","41","City Leading","1",NULL
"391","41","Shuttle","1",NULL
"392","41","Smoothing","1",NULL
"393","42","Arcadia","1",NULL
"394","42","Chairman","1",NULL
"395","42","Damas","1",NULL
"396","42","Espero","1",NULL
"397","42","Evanda","1",NULL
"398","42","G2X","1",NULL
"399","42","Gentra","1",NULL
"400","42","Kalos","1",NULL
"401","42","Korando","1",NULL
"402","42","Lacetti","1",NULL
"403","42","Lanos (Sens)","1",NULL
"404","42","LE Mans","1",NULL
"405","42","Leganza","1",NULL
"406","42","Magnus","1",NULL
"407","42","Matiz","1",NULL
"408","42","Musso","1",NULL
"409","42","Nexia","1",NULL
"410","42","Nubira","1",NULL
"411","42","Prince","1",NULL
"412","42","Racer","1",NULL
"413","42","Rezzo","1",NULL
"414","42","Tacuma","1",NULL
"415","42","Tico","1",NULL
"416","42","Tosca","1",NULL
"417","42","Winstorm","1",NULL
"418","43","46","1",NULL
"419","43","66","1",NULL
"420","44","Altis","1",NULL
"421","44","Applause","1",NULL
"422","44","Atrai","1",NULL
"423","44","Be-go","1",NULL
"424","44","Boon","1",NULL
"425","44","Ceria","1",NULL
"426","44","Charade","1",NULL
"427","44","Charmant","1",NULL
"428","44","Coo","1",NULL
"429","44","Copen","1",NULL
"430","44","Cuore","1",NULL
"431","44","Delta Wagon","1",NULL
"432","44","Esse","1",NULL
"433","44","Feroza","1",NULL
"434","44","Gran Move","1",NULL
"435","44","Leeza","1",NULL
"436","44","Materia","1",NULL
"437","44","MAX","1",NULL
"438","44","Mira Gino","1",NULL
"439","44","Mira","1",NULL
"440","44","Move","1",NULL
"441","44","Naked","1",NULL
"442","44","Opti","1",NULL
"443","44","Pyzar","1",NULL
"444","44","Rocky","1",NULL
"445","44","Sirion","1",NULL
"446","44","Sonica","1",NULL
"447","44","Storia","1",NULL
"448","44","Taft","1",NULL
"449","44","Tanto","1",NULL
"450","44","Terios","1",NULL
"451","44","Trevis","1",NULL
"452","44","Wildcat","1",NULL
"453","44","Xenia","1",NULL
"454","44","YRV","1",NULL
"455","45","DS420","1",NULL
"456","45","Sovereign (XJ6)","1",NULL
"457","45","X300","1",NULL
"458","45","X308","1",NULL
"459","45","X350","1",NULL
"460","45","XJ40","1",NULL
"461","45","XJS","1",NULL
"463","47","280ZX","1",NULL
"464","47","720","1",NULL
"465","47","Bluebird","1",NULL
"466","47","Cherry","1",NULL
"467","47","GO","1",NULL
"468","47","GO+","1",NULL
"469","47","on-DO","1",NULL
"470","47","Stanza","1",NULL
"471","47","Sunny","1",NULL
"472","47","Violet","1",NULL
"473","48","Bigua","1",NULL
"474","48","Guara","1",NULL
"475","48","Mangusta","1",NULL
"476","48","Pantera","1",NULL
"477","48","Vallelunga","1",NULL
"478","49","DMC-12","1",NULL
"479","50","Antelope","1",NULL
"480","50","Aurora","1",NULL
"481","50","Cowboy","1",NULL
"482","50","Land Crown","1",NULL
"483","50","Plutus","1",NULL
"484","50","Saladin","1",NULL
"485","50","Shuttle","1",NULL
"486","51","600","1",NULL
"487","51","Aries","1",NULL
"488","51","Avenger","1",NULL
"489","51","Caliber","1",NULL
"490","51","Caravan","1",NULL
"491","51","Challenger","1",NULL
"492","51","Charger","1",NULL
"493","51","Dakota","1",NULL
"494","51","Dart","1",NULL
"495","51","Daytona","1",NULL
"496","51","Durango","1",NULL
"497","51","Dynasty","1",NULL
"499","51","Intrepid","1",NULL
"500","51","Journey","1",NULL
"501","51","Magnum","1",NULL
"502","51","Monaco","1",NULL
"503","51","Neon","1",NULL
"504","51","Nitro","1",NULL
"505","51","Omni","1",NULL
"506","51","RAM","1",NULL
"507","51","Ramcharger","1",NULL
"508","51","Shadow","1",NULL
"509","51","Spirit","1",NULL
"510","51","Stealth","1",NULL
"511","51","Stratus","1",NULL
"512","51","Viper","1",NULL
"513","52","H30 Cross","1",NULL
"514","52","MPV","1",NULL
"515","52","Oting","1",NULL
"516","52","Rich","1",NULL
"517","53","Assol","1",NULL
"518","53","Kondor","1",NULL
"519","53","Orion","1",NULL
"520","54","D8","1",NULL
"521","55","GD04B","1",NULL
"522","56","Premier","1",NULL
"523","56","Summit","1",NULL
"524","56","Talon","1",NULL
"525","56","Vision","1",NULL
"526","57","SS","1",NULL
"527","58","Estrima Biro","1",NULL
"530","59","Besturn B50","1",NULL
"531","59","Besturn B70","1",NULL
"533","59","City Golf","1",NULL
"535","59","Jinn","1",NULL
"536","59","Oley","1",NULL
"537","59","V2","1",NULL
"538","59","V5","1",NULL
