"168","Talbot","1","Тэлбот"
"169","TATA","1","ТАТА"
"170","Tatra","1","Татра"
"171","Tazzari","1","Таззари"
"172","Tesla","1","Тесла"
"173","Tianma","1","Тианма"
"174","Tianye","1","Тианье"
"175","Tofas","1","Тофас"
"176","Toyota","1","Тойота"
"177","Trabant","1","Трабант"
"178","Tramontana","1","Трамонтана"
"179","Triumph","1","Триумф"
"180","TVR","1","ТВР"
"181","Vauxhall","1","Воксхолл"
"182","Vector","1","Вектор"
"183","Venturi","1","Вентури"
"184","Volkswagen","1","Фольксваген"
"185","Volvo","1","Вольво"
"186","Vortex","1","Вортекс"
"187","Wartburg","1","Вартбург"
"188","Westfield","1","Вестфилд"
"189","Wiesmann","1","Вайсман"
"190","Xin Kai","1","Ксин Кай"
"191","Zastava","1","Застава"
"192","Zotye","1","Зоти"
"193","ZX","1","ЗетИкс"
"211","Ё-мобиль","1","Ё-мобиль"
"212","Автокам","1","Автокам"
"213","Астро","1","Астро"
"214","Бронто","1","Бронто"
"215","ВАЗ (Lada)","1","ВАЗ"
"216","ГАЗ","1","ГАЗ"
"217","ЗАЗ","1","ЗАЗ"
"218","ЗИЛ","1","ЗИЛ"
"219","ИЖ","1","ИЖ"
"220","КамАЗ","1","КамАЗ"
"221","Канонир","1","Канонир"
"222","ЛуАЗ","1","ЛУАЗ"
"223","Москвич","1","Москвич"
"224","СМЗ","1","СМЗ"
"225","СеАЗ","1","СеАЗ"
"226","ТагАЗ","1","ТагАЗ"
"227","УАЗ","1","УАЗ"
"280","Ultima","1","Ультима"
"282","Hawtai","1","Хавтай"
"284","Renaissance","1","Ренессанс"
"288","Эксклюзив","1","Эксклюзив"
"289","Gordon","1","Гордон"
"290","Haval","1","Хавэйл"
"291","Alpina","1","Альпина"
"3589","DS","1","ДС"
"3590","PGO","1","ПГО"
"3591","Zenvo","1","Зенво"
"3619","Rezvani","1","Резвани"
"3620","Rimac","1","Римак"
"3664","Adler","1","Адлер"
"3665","DeSoto","1","ДеСото"
"3666","Packard","1","Пакард"
"3667","Willys","1","Вилис"
"3668","Комбат","1","Комбат"
"3676","Borgward","1",NULL
"3689","Ravon","1",NULL
"3690","ЗиС","1",NULL
"3705","AMC","1",NULL
"3706","Zenos","1",NULL
"3728","W Motors","1",NULL
"3739","Hudson","1",NULL
